[4.68804469e-310 4.68804470e-310 4.68804470e-310], [75.22410941123962]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [75.38948011398315]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [75.55569744110107]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [75.72045922279358]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [75.88525128364563]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [76.05030155181885]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [76.21618103981018]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [76.38083148002625]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [76.54533529281616]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [76.71102809906006]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [76.87724661827087]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [77.04238438606262]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [77.2092456817627]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [77.37350654602051]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [77.5371949672699]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [77.70365047454834]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [77.86876010894775]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [78.03390312194824]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [78.20041680335999]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [78.36531519889832]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [78.53029608726501]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [78.69697308540344]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [78.86249423027039]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [79.0291097164154]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [79.19438648223877]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [79.36071276664734]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [79.52684044837952]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [79.69319009780884]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [79.85718369483948]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [80.02283000946045]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [80.1871747970581]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [80.3528904914856]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [80.51831293106079]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [80.68279361724854]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [80.84742331504822]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [81.01115918159485]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [81.17575573921204]
