[ 0.0 0.8293473538799029 1.0381930668399542],[ 186.0345794758564 187.19634079067336 187.22841144349906],[ 0.0 0.9412853329082229 0.5129890145340132],[ 185.71178232272905 186.48478656413843 186.27414901637624],, [35.2950541973114]
[ 0.0 0.9450995839667387 1.2772293555359386],[ 186.04305012236156 187.31328120449248 187.39462148762618],[ 0.0 1.3577487755435866 0.5879437233608356],[ 185.77744553162643 186.7857783017425 186.4291442177474],, [35.4593825340271]
[ 0.0 0.7841766937882817 1.43580692459855],[ 186.11313734615075 187.4755917491094 187.6409775329426],[ 0.0 1.7306173106046536 0.4516911514284818],[ 185.88667855998827 187.24738703345278 186.6283246458738],, [35.62527537345886]
[ 0.0 0.7575325572997214 1.7376774490939144],[ 186.14938432118336 187.56476674133296 187.88030867925417],[ 0.0 2.4105153323080795 0.22364798898026006],[ 185.99022079320045 187.79311945431257 186.74003270267355],, [35.79173707962036]
[ 0.0 0.6101292994070089 1.8203805385083902],[ 186.22363900925 187.64788022852858 188.20322169486784],[ 0.0 3.0196041020383326 0.0],[ 186.12788659224097 188.5565215219025 186.77358017800137],, [35.95572018623352]
[ 0.0 0.7483504831537102 1.9567741506277014],[ 186.25496036884203 187.6442834780492 188.49729642129614],[ 0.0 3.7247491985528933 0.0],[ 186.27291946270765 189.4435960143862 186.7451184142688],, [36.12071514129639]
[ 0.0 1.004116249183446 2.0547714409311686],[ 186.3306392429709 187.67547832193154 188.83181974133763],[ 0.0 3.9629289036555586 0.0],[ 186.46646286762373 190.47909470576448 186.8038102391238],, [36.28570628166199]
[ 0.0 1.4595284978243832 2.3080623662881736],[ 186.44232029403028 187.79210351121904 189.1928824033932],[ 0.0 3.8166075214609516 0.0],[ 186.62986447684875 191.35927149997167 186.86820351717182],, [36.44962215423584]
[ 0.0 1.940190036970408 2.045588264884151],[ 186.6414539533628 188.0967385185535 189.6498680387474],[ 0.0 3.071682974835181 0.3069108726035148],[ 186.73291576748574 191.91408047549086 186.89023202388825],, [36.61382508277893]
[ 0.0 2.2355586360856092 1.8045536726159583],[ 186.79426527707022 188.49309711479302 189.98611884633212],[ 0.0 2.2775602553533503 0.9243645473292287],[ 186.7546337063486 191.9441332111304 187.00243244868122],, [36.77926683425903]
[ 0.0 2.424628926974584 1.8692870296343493],[ 186.88983485878322 188.9297599381155 190.16917683598024],[ 0.0 1.680639186184474 1.53224481688087],[ 186.7648844498709 191.6138843819707 187.36107422810738],, [36.95318531990051]
[ 0.0 2.6487173140932123 2.0350198248466964],[ 186.99247739474393 189.42084204987194 190.311900924316],[ 0.0 1.178846644488456 2.061980551819425],[ 186.79363554192358 191.12685041829604 187.91163940573085],, [37.11832308769226]
[ 0.0 2.7877103242728136 2.6067312696956746],[ 187.12766296310213 189.9725442793484 190.47491823882908],[ 0.3484037462839855 1.2567247579403433 2.264109111074373],[ 186.83304574864886 190.56099840184385 188.56433431532315],, [37.28982901573181]
[ 0.0 2.8341532513549477 3.0795629299333904],[ 187.3347833105243 190.58557493986982 190.80588592893088],[ 0.7687562725874846 1.4696146595419812 2.2667488074292463],[ 187.06937039161627 190.22335356802932 189.17027506785263],, [37.462249755859375]
[ 0.0 3.093782176630455 3.1982618942203542],[ 187.54891727887946 191.17120269121597 191.24620662445156],[ 1.0873955380190996 1.7515001053545987 2.1784793039636345],[ 187.48529970974025 190.125917545842 189.65647964561893],, [37.629883766174316]
[ 0.0 3.281479813201657 3.2753500809624105],[ 187.74487925425004 191.71739462993304 191.71080860053834],[ 1.443489109590647 1.923555069897568 2.130684260583968],[ 187.98382974273082 190.21740583369754 190.0283831729056],, [37.79416537284851]
[ 0.0 3.4458283784764374 3.441629849717103],[ 187.90361267494927 192.21316202301168 192.15478977343327],[ 1.724374857292373 2.0738080764571505 2.205645992665764],[ 188.55745395419927 190.40920746234468 190.33479790149133],, [37.95895338058472]
[ 0.0 3.6217034536227684 3.6970166175424355],[ 188.05758669403946 192.68307825732265 192.59411053081894],[ 1.9405863728074706 2.2393830725957797 2.3694910540869216],[ 189.16176525763632 190.67103057265064 190.64660965771657],, [38.126192569732666]
[ 0.0 3.911013817884931 3.828720298701779],[ 188.23621856906337 193.15280188291572 193.05677199844538],[ 2.2114927078614337 2.432995227647377 2.472119120816406],[ 189.76740810041233 190.99634522897486 191.00485483320134],, [38.290255546569824]
[ 0.0 4.111267893743184 4.05406756979232],[ 188.42909502198805 193.6325015341227 193.52558775978798],[ 2.4566461933798043 2.583533520506283 2.6364232185899246],[ 190.3978937578462 191.37548411432238 191.3833297480307],, [38.45782113075256]
[ 0.0 4.315676797137939 4.187984049985213],[ 188.63628544406004 194.11567234321993 194.00290142998097],[ 2.7519323899587445 2.7165134383643657 2.7390315345268887],[ 191.03653566453684 191.78229555457065 191.79493513510866],, [38.6233024597168]
[ 0.0 4.5147216468214655 4.463338160015969],[ 188.83371779085977 194.58388082561802 194.46078306772435],[ 2.9504117005406045 2.891182829918291 2.952831944487127],[ 191.69636001530463 192.19576064072476 192.20609116560937],, [38.791542530059814]
[ 0.0 4.732119685182941 4.632030194866726],[ 189.0615118243389 195.06508631286758 194.94042349578382],[ 3.2033758052164174 3.050662790806824 3.082613403033411],[ 192.34218937056337 192.64217810372747 192.6638373497709],, [38.958229303359985]
[ 0.0 4.966883957962093 4.8716966488761315],[ 189.28983294812784 195.53984858464028 195.41239478778132],[ 3.4111365000265983 3.238210921660252 3.2747570368755556],[ 192.99206807728262 193.09868501588082 193.12140905204012],, [39.12457823753357]
[ 0.0 5.1780524273776 5.078724053200356],[ 189.54206926868977 196.02875949378975 195.89964540300346],[ 3.664569290373824 3.395270072473938 3.430745920885522],[ 193.63453866147492 193.580827706332 193.60652509692193],, [39.289650678634644]
