[ 0.  0. 55.], [30.579808712005615]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.555617809295654]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.64008688926697]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.72416663169861]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.80872082710266]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.89329409599304]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.978477001190186]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.06342339515686]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.14773726463318]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.231162548065186]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.316428661346436]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.400983810424805]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.48601818084717]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.57095170021057]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.65549612045288]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.73947238922119]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.824288845062256]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.90808916091919]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [47.99227046966553]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [48.076277017593384]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [48.161113262176514]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [48.24559807777405]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [48.33058738708496]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [48.41476082801819]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [48.49867224693298]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [48.58334803581238]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [48.667967081069946]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [48.751832723617554]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [48.83590483665466]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [48.91975951194763]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.004539251327515]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.08875560760498]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.17371201515198]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.25858473777771]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.34185743331909]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.42645311355591]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.51029109954834]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.594361543655396]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.67916774749756]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.76429533958435]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.84869050979614]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [49.93358755111694]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.01767373085022]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.10239601135254]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.187584400177]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.27247643470764]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.356916666030884]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.441346883773804]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.531147956848145]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.61687231063843]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.702842712402344]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.787593364715576]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.872355222702026]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [50.956674575805664]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.04095721244812]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.12458372116089]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.20819449424744]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.291242599487305]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.37426733970642]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.45848107337952]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.542285203933716]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.626216173172]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.7101047039032]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.79299449920654]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.8760941028595]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [51.9600043296814]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [52.04222321510315]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [52.125937938690186]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [52.20830202102661]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [52.29186987876892]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [52.37531805038452]
