[-6.81738421 -3.56620153 59.62579082], [70.68082213401794]
[-6.825666   -3.63210561 59.60011986], [70.76512694358826]
[-6.83462651 -3.67351863 59.57993333], [70.84947562217712]
[-6.83547587 -3.71069155 59.56116797], [70.93359303474426]
[-6.85022025 -3.74862074 59.5422797 ], [71.01906752586365]
[-6.83754476 -3.76306929 59.53225701], [71.10351395606995]
[-6.85266483 -3.78921368 59.51248787], [71.18819212913513]
[-6.81995078 -9.01580053 59.38055088], [71.27315139770508]
[-6.84254453 -9.26552136 59.4731596 ], [71.35816383361816]
[-6.7639539  -9.24000174 59.5365621 ], [71.4427695274353]
[-7.01280644 -7.73245545 60.06060954], [71.52711391448975]
[-7.12978766 -7.17126474 60.10847346], [71.61114382743835]
[-7.44157446 -6.04719438 60.41210477], [71.69611477851868]
[-7.28733297 -5.93911745 60.47518375], [71.78068995475769]
[-7.38423598 -5.59604391 60.50842848], [71.86510872840881]
[-6.69515414 -6.07194016 60.50481494], [71.94877290725708]
[-6.77121747 -5.92042926 60.44378197], [72.03393077850342]
[-6.47423413 -6.42196865 60.39763663], [72.11885046958923]
[-6.70204663 -6.20810247 60.32325262], [72.20338559150696]
[-6.4782186  -6.53705242 60.23482021], [72.28745532035828]
[-6.65477456 -6.24326942 60.1652592 ], [72.37208485603333]
[-6.44703705 -6.52794689 60.10373644], [72.4560694694519]
[-6.67291458 -6.26505167 60.08114661], [72.54054307937622]
[-6.54152792 -6.46643817 60.0372673 ], [72.62532258033752]
[-6.64241518 -6.12514004 60.00220542], [72.71007037162781]
[-6.49906974 -6.30979822 59.97323897], [72.80010604858398]
[-6.62774929 -6.07491506 59.95157554], [72.88433504104614]
[-6.54036455 -6.20997653 59.93021159], [72.96814441680908]
[-6.63867026 -6.06877104 59.90847075], [73.05226826667786]
[-6.51388273 -6.21190166 59.86440391], [73.13625860214233]
[-6.59878252 -6.14959855 59.84543453], [73.22047686576843]
[-6.51954422 -6.29701353 59.85309743], [73.30499458312988]
[-1.42492956 -6.30366493 60.12660622], [73.38892221450806]
[-1.14537959 -6.2752696  59.91806396], [73.47298693656921]
[-1.01908027 -6.31385433 59.82906662], [73.55698370933533]
