[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.039244413375854]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.12296533584595]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.20727062225342]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.29155206680298]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.376041889190674]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.459585428237915]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.544134855270386]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.62802791595459]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.711304903030396]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.79467248916626]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.87860441207886]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [48.96289014816284]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.04774737358093]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.13209891319275]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.219993114471436]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.307101249694824]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.39226984977722]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.478248834609985]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.563615560531616]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.64915609359741]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.73277187347412]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.817065715789795]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.900984048843384]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [49.985358476638794]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [50.070297718048096]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [50.15480422973633]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [50.238999366760254]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [50.322726011276245]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [50.40700054168701]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [50.49526786804199]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [50.58063459396362]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [50.664549350738525]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [50.74921941757202]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [50.83429408073425]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [50.91962265968323]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.00426530838013]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.0894091129303]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.17392063140869]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.2575478553772]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.34159278869629]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.42553663253784]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.50962567329407]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.594059228897095]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.678643226623535]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.762795209884644]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.84755778312683]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [51.93138098716736]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.01568794250488]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.09927272796631]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.18384408950806]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.26810598373413]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.352304220199585]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.43678331375122]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.52110838890076]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.60530161857605]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.68872380256653]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.77293157577515]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.85700011253357]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [52.941246509552]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.025256395339966]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.10952591896057]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.19426441192627]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.28457736968994]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.36991500854492]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.454278230667114]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.53765082359314]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.62226700782776]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.70634746551514]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.78942108154297]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.87442660331726]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [53.95908236503601]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.043087005615234]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.12682914733887]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.21088433265686]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.29471731185913]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.37893199920654]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.46331238746643]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.5477032661438]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.63210320472717]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.71538949012756]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.8004105091095]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.884671688079834]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [54.96955060958862]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.05431771278381]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.1388213634491]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.22332954406738]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.30775046348572]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.39348530769348]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.4778892993927]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.56161904335022]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.64603042602539]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.730979442596436]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.8156840801239]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.89993762969971]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [55.984763860702515]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.07051134109497]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.154473304748535]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.23902630805969]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.32414627075195]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.40885591506958]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.492948055267334]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.577223777770996]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.66103768348694]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.74482560157776]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.82896399497986]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.91316866874695]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [56.997098445892334]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [57.08105254173279]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [57.16482329368591]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [57.24879002571106]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [57.33258557319641]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [57.416425466537476]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [57.500322341918945]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [57.58380651473999]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [57.66758966445923]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [57.752402782440186]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [57.8367805480957]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [57.9213502407074]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.00559759140015]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.08999752998352]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.17418193817139]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.25721716880798]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.3409378528595]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.42507243156433]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.50869131088257]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.59313774108887]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.67750883102417]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.76187610626221]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.846076011657715]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [58.930625200271606]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.015315771102905]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.099960803985596]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.18534326553345]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.27029013633728]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.35451602935791]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.43920588493347]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.5245361328125]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.6093955039978]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.694371938705444]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.77949666976929]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.86928606033325]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [59.953460931777954]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.0379056930542]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.12219715118408]
