[0. 0. 0.], [36.7965567111969]
[ 4.64 -5.15 55.6 ], [53.02515649795532]
[ 4.65 -5.27 55.52], [53.10953664779663]
[ 4.67 -5.27 55.51], [53.194286823272705]
[ 4.66 -5.27 55.5 ], [53.28457498550415]
[ 4.66 -5.26 55.5 ], [53.36980223655701]
[ 4.67 -5.24 55.5 ], [53.454174280166626]
[ 4.67 -5.23 55.5 ], [53.537548542022705]
[ 4.67 -5.22 55.5 ], [53.622151613235474]
[ 4.65 -5.22 55.5 ], [53.70623326301575]
[ 4.65 -5.22 55.5 ], [53.78930735588074]
[ 4.65 -5.22 55.5 ], [53.87432384490967]
[ 4.66 -5.21 55.5 ], [53.95902919769287]
[ 4.66 -5.2  55.48], [54.04302358627319]
[ 4.69 -5.29 55.51], [54.12675452232361]
[ 4.71 -5.29 55.48], [54.210773944854736]
[ 4.73 -5.34 55.49], [54.29464340209961]
[ 4.73 -5.35 55.48], [54.37882161140442]
[ 4.74 -5.35 55.48], [54.4632453918457]
[ 6.21 -4.89 55.89], [54.54758906364441]
[ 7.21  3.55 56.14], [54.63198900222778]
[ 4.81  2.61 56.75], [54.715274810791016]
[ 4.83 -0.65 55.83], [54.80029511451721]
[ 4.54 -0.33 56.03], [54.88456082344055]
[ 4.46 -0.8  55.86], [54.96943688392639]
[ 4.46 -0.66 56.  ], [55.05420422554016]
[ 4.45 -0.76 55.94], [55.13870573043823]
[ 4.43 -0.75 55.92], [55.22326469421387]
[ 4.44 -0.77 55.94], [55.307831048965454]
[ 4.4  -0.76 55.94], [55.393559217453]
[ 4.41 -0.75 55.92], [55.47777962684631]
[ 4.39 -0.75 55.92], [55.56154227256775]
[ 4.39 -0.74 55.92], [55.64591979980469]
[ 4.39 -0.75 55.93], [55.73086762428284]
[ 4.39 -0.75 55.93], [55.81556558609009]
[ 4.38 -0.74 55.93], [55.89982318878174]
[ 4.38 -0.75 55.92], [55.98465156555176]
[ 4.37 -0.74 55.92], [56.07040095329285]
[ 4.37 -0.73 55.92], [56.15436100959778]
[ 4.39 -0.74 55.91], [56.238913774490356]
[ 4.4  -0.69 55.91], [56.32410669326782]
[ 4.44 -0.63 55.92], [56.40874624252319]
[ 4.42 -0.58 55.92], [56.49302935600281]
[ 4.43 -0.57 55.92], [56.5771164894104]
[ 2.06 -0.92 55.83], [56.66117763519287]
[-2.35  1.47 56.37], [56.74471974372864]
[-1.49 -0.47 55.71], [56.82885813713074]
[-0.08 -0.73 55.71], [56.913063764572144]
[ 0.44 -1.01 55.59], [56.99698829650879]
[ 0.44 -1.   55.33], [57.08094358444214]
[ 0.38 -1.01 55.21], [57.164711713790894]
[ 0.47 -1.14 55.24], [57.248677015304565]
[ 0.4  -1.04 55.19], [57.332475423812866]
[ 0.39 -0.99 55.2 ], [57.41631770133972]
[ 0.39 -0.96 55.2 ], [57.50020718574524]
[ 0.36 -0.98 55.18], [57.58369493484497]
[ 0.16 -0.58 55.13], [57.66747999191284]
[ 0.12 -0.46 55.1 ], [57.752293825149536]
[ 0.09 -0.58 55.08], [57.83667063713074]
[ 0.08 -0.48 55.09], [57.92123985290527]
[ 0.06 -0.43 55.09], [58.00548982620239]
[ 0.06 -0.42 55.09], [58.0898916721344]
[ 4.000e-02 -4.100e-01  5.509e+01], [58.17408227920532]
[ 4.000e-02 -4.000e-01  5.507e+01], [58.25714588165283]
[ 3.000e-02 -3.800e-01  5.506e+01], [58.340834856033325]
[ 1.000e-02 -3.800e-01  5.505e+01], [58.424970626831055]
[ 0.   -0.37 55.06], [58.508779525756836]
[ 0.   -0.36 55.06], [58.593069553375244]
[ 1.000e-02 -3.600e-01  5.506e+01], [58.67740750312805]
[-1.2  -1.   55.47], [58.76176953315735]
[-1.64  4.4  63.35], [58.845969915390015]
[ 2.3  -1.24 59.83], [58.93051338195801]
[ 2.00e-01 -3.00e-02  5.91e+01], [59.0152542591095]
[ 1.34 -1.39 57.51], [59.099849224090576]
[ 0.77  0.48 57.78], [59.185232400894165]
[ 1.03 -0.2  57.51], [59.27018213272095]
[ 1.030e+00 -5.000e-02  5.776e+01], [59.354405879974365]
[ 1.22  0.66 58.01], [59.439229011535645]
[ 0.86  0.14 57.83], [59.524476289749146]
[ 9.500e-01 -3.000e-02  5.806e+01], [59.60929274559021]
[ 0.69 -0.17 58.13], [59.69426965713501]
[ 0.95  0.34 58.19], [59.779439210891724]
[ 1.24  0.19 58.51], [59.86928987503052]
[ 0.64  0.06 58.33], [59.95335102081299]
[ 0.7   0.07 58.51], [60.03779220581055]
[ 0.74 -0.17 58.25], [60.122081995010376]
[ 9.500e-01 -4.000e-02  5.874e+01], [60.207348108291626]
[ 0.89  0.29 58.61], [60.29141664505005]
[ 5.000e-01 -5.000e-02  5.879e+01], [60.375943660736084]
[ 0.49 -0.07 58.73], [60.46118903160095]
[ 0.71  0.62 58.93], [60.54559326171875]
[ 0.69  0.5  58.93], [60.63043165206909]
[ 0.39  0.38 58.83], [60.71478986740112]
[ 0.66  0.21 58.97], [60.79944705963135]
[-2.68 -1.42 58.55], [60.88278841972351]
[nan nan nan], [60.963886737823486]
[-8.49  7.11 56.32], [61.04858613014221]
[-13.91   8.21  54.54], [61.13323140144348]
[-11.8    9.19  56.22], [61.21804690361023]
[-7.93  8.88 58.4 ], [61.30266857147217]
[-8.15  7.94 59.58], [61.38796901702881]
[-7.04  7.81 59.38], [61.472476959228516]
[-7.25  7.23 59.8 ], [61.55723023414612]
[-7.23  7.08 59.39], [61.64211344718933]
[-6.67  6.43 60.12], [61.726579666137695]
[-5.55  6.39 60.87], [61.81071400642395]
[-5.72  6.32 60.62], [61.895076751708984]
[-6.07  5.85 60.31], [61.97941517829895]
[-5.54  5.72 60.52], [62.063806772232056]
[-5.5   5.88 60.52], [62.14806842803955]
[-5.28  5.77 60.53], [62.231598138809204]
[-5.16  5.8  60.68], [62.31589388847351]
[-5.37  5.56 60.4 ], [62.39942240715027]
[-5.15  5.67 60.44], [62.48383188247681]
[-5.2   5.66 60.48], [62.56808137893677]
[-5.02  5.73 60.41], [62.65179181098938]
[-5.01  5.47 60.38], [62.73611903190613]
[-4.86  5.64 60.41], [62.82009506225586]
[-4.81  5.59 60.37], [62.90474343299866]
[-6.1   7.39 58.4 ], [62.98952317237854]
[-26.22  22.28  35.77], [63.07413458824158]
[-20.39  15.03  49.12], [63.159003496170044]
[-29.4   22.29  37.38], [63.24364161491394]
[-29.94  20.24  45.37], [63.328003883361816]
[-23.72  18.89  57.1 ], [63.41290903091431]
[-20.08  16.94  60.44], [63.49725341796875]
[-6.45 18.39 65.23], [63.58223247528076]
[-2.15 15.12 69.06], [63.66584014892578]
[ 2.06 12.13 69.3 ], [63.749507665634155]
[1.000e-02 8.760e+00 6.869e+01], [63.83458638191223]
[-7.87  6.03 65.86], [63.91877222061157]
[-10.75   5.45  63.57], [64.00357437133789]
[-12.86   5.45  62.44], [64.08762860298157]
[-12.52   7.87  61.62], [64.17123055458069]
[-12.59   8.63  61.06], [64.25598573684692]
[-11.58   9.79  61.06], [64.33997941017151]
[-11.37   9.93  61.36], [64.42448616027832]
[-11.42  10.3   60.96], [64.50792837142944]
[-10.59  10.8   61.32], [64.59233069419861]
[-9.89 10.53 61.27], [64.67661476135254]
[-9.65 10.59 61.36], [64.76092624664307]
[-9.88  9.9  61.37], [64.84493780136108]
[-9.39 10.16 61.52], [64.92913460731506]
[-9.9   9.38 61.33], [65.01355051994324]
[-7.32  6.9  63.75], [65.09819269180298]
[  0.09 -15.18  59.53], [65.18201160430908]
[-8.220e+00 -1.000e-02  6.046e+01], [65.26569724082947]
[-6.75 -7.42 58.47], [65.35658121109009]
[-15.35   0.23  62.19], [65.44193172454834]
[-11.77  -3.3   62.34], [65.5274019241333]
[-12.52   3.03  62.35], [65.61247324943542]
[-10.4    2.99  61.56], [65.69694256782532]
[-10.03   4.18  60.65], [65.78068828582764]
[-9.15  4.05 61.25], [65.86485815048218]
[-9.37  4.33 60.81], [65.94874143600464]
[-9.12  5.   60.92], [66.03251838684082]
[-9.59  4.68 60.73], [66.11665916442871]
[-9.23  4.92 60.8 ], [66.20134162902832]
[-9.41  4.5  60.77], [66.28566575050354]
[-9.31  4.63 60.8 ], [66.37040710449219]
[-9.3   4.11 60.76], [66.45512509346008]
[-9.46  4.66 60.62], [66.53877902030945]
[-9.56  4.31 60.58], [66.62289571762085]
[-9.71  4.19 60.56], [66.70660066604614]
[-9.34  4.36 60.6 ], [66.79106712341309]
[-9.74  3.7  60.57], [66.8753879070282]
[-9.77  4.36 60.37], [66.9600031375885]
[-9.44  4.77 60.28], [67.04447340965271]
[-9.57  4.56 60.35], [67.1282696723938]
[-8.    5.34 62.1 ], [67.21320652961731]
[ -1.31 -17.48  54.04], [67.29805731773376]
[-7.79 -2.15 59.89], [67.38268089294434]
[ -8.36 -10.69  57.93], [67.46675705909729]
[-13.35  -1.77  58.83], [67.54986143112183]
[-9.77 -4.87 59.06], [67.63457489013672]
[-10.63  -0.98  59.96], [67.7190215587616]
[-11.55  -0.37  60.21], [67.80333232879639]
[-10.98  -0.19  60.17], [67.88748359680176]
[-11.11   0.34  60.27], [67.97157120704651]
[-1.058e+01 -6.000e-02  6.020e+01], [68.05595707893372]
[-10.35   0.52  60.3 ], [68.14032173156738]
[-10.04   0.66  60.3 ], [68.22493243217468]
[-10.24   0.76  60.21], [68.3096125125885]
[-9.84  0.64 60.2 ], [68.39484715461731]
[-9.81  0.76 60.2 ], [68.47966647148132]
[-9.77  0.55 60.1 ], [68.56384682655334]
[-9.77  0.38 60.1 ], [68.64847993850708]
[-10.29  -0.26  60.11], [68.73231816291809]
[-10.     0.4   59.98], [68.816157579422]
[-9.95  0.32 60.08], [68.9001886844635]
[-10.27   0.23  59.95], [68.98407936096191]
[-9.84  0.47 59.99], [69.0697991847992]
[-9.97  0.7  60.  ], [69.15513515472412]
