[1.42108547e-14 0.00000000e+00 5.50000000e+01], [40.23655104637146]
[ 5.51542567 -9.93270605 56.17585006], [53.44019174575806]
[  5.07695895 -10.04613726  55.84527421], [53.52406358718872]
[ 5.16177562 -9.94605185 55.57181084], [53.608911991119385]
[ 5.1233439  -9.94726406 55.4141629 ], [53.69241523742676]
[ 5.08670701 -9.95195628 55.2839407 ], [53.776190757751465]
[ 5.05811376 -9.95449433 55.18001559], [53.86063075065613]
[ 5.03580258 -9.95582379 55.09778186], [53.944905281066895]
[ 5.01833563 -9.95647897 55.03279709], [54.02946949005127]
[ 5.00464201 -9.95674968 54.9814906 ], [54.11307644844055]
[ 4.99390019 -9.95680893 54.94102654], [54.19661498069763]
[ 4.98547308 -9.95675965 54.90915097], [54.28077554702759]
[ 4.97886376 -9.95666147 54.88407219], [54.36393976211548]
[ 4.9778303  -9.95548117 54.877844  ], [54.44799256324768]
[ 4.97764553 -9.95514068 54.87653323], [54.53178596496582]
[ 4.97759092 -9.95506322 54.87623647], [54.61581897735596]
[ 4.97756725 -9.95504129 54.87615504], [54.69964599609375]
[ 4.97755302 -9.95503208 54.87612285], [54.783634424209595]
[ 4.97754304 -9.9550266  54.87610461], [54.86743712425232]
[ 4.9775357  -9.95502275 54.87609216], [54.95111560821533]
[ 4.97753024 -9.9550199  54.87608313], [55.034099817276]
[ 4.97752388 -9.95501317 54.87606516], [55.11751651763916]
[ 4.97751875 -9.95500732 54.8760489 ], [55.200504779815674]
[ 4.97751491 -9.95500288 54.87603641], [55.28394079208374]
[ 4.97751209 -9.9549996  54.87602723], [55.367345094680786]
[ 4.97751003 -9.95499721 54.87602058], [55.45167803764343]
[ 5.28317767 -5.55912004 56.02432303], [55.53503465652466]
[ 5.02335405 -5.01245602 55.88816205], [55.61907076835632]
[ 4.85952146 -5.08082948 55.75784109], [55.7031352519989]
[ 4.86500417 -5.07590901 55.68365568], [55.78643441200256]
[ 4.87557828 -5.06845049 55.62055494], [55.86950635910034]
[ 4.88326925 -5.06270215 55.57195569], [55.95268797874451]
[ 4.88901073 -5.05834732 55.53510696], [56.0364773273468]
[ 4.89335161 -5.05504356 55.50716985], [56.12002468109131]
[ 4.89664167 -5.05253565 55.4859711 ], [56.2036075592041]
[ 4.89913825 -5.05063126 55.46987421], [56.286518573760986]
[ 4.90103454 -5.04918475 55.45764415], [56.37055420875549]
[ 4.90247601 -5.04808577 55.44834742], [56.4541449546814]
[ 4.90357241 -5.04725063 55.44127755], [56.538206577301025]
[ 4.90440673 -5.04661588 55.43589932], [56.62214803695679]
[ 4.90504184 -5.04613334 55.43180687], [56.70563268661499]
[ 4.9055254  -5.04576647 55.42869219], [56.78900337219238]
[ 4.90589362 -5.0454875  55.42632133], [56.8726327419281]
[ 4.90617402 -5.04527535 55.4245165 ], [56.95595097541809]
[ 4.90638753 -5.04511402 55.42314254], [57.03920125961304]
[ 4.9065501  -5.04499132 55.42209659], [57.12237358093262]
[ 4.90667386 -5.04489801 55.4213004 ], [57.20577049255371]
[ 4.90676805 -5.04482706 55.42069439], [57.29099678993225]
