[-2.39308  -3.56202  60.913956], [70.94985628128052]
[-2.38099935 -3.57256239 60.388328  ], [71.03423190116882]
[-2.40235917 -3.61344713 60.36280897], [71.11830377578735]
[ 2.42826955  3.66401193 60.33499087], [71.20232081413269]
[-5. -5. 60.], [71.28715538978577]
[-2.52022  -3.80032  60.768684], [71.37111020088196]
[-2.52648912 -3.79458423 60.25541941], [71.4551682472229]
[-2.56046581 -3.83594272 60.22923492], [71.54005646705627]
[ 2.6117148   3.87115943 60.20633119], [71.62377858161926]
[-5. -5. 60.], [71.70697021484375]
[-2.69522  -4.00836  60.644964], [71.79053735733032]
[ 2.7141   1.10166 60.62466], [71.87489247322083]
[-2.70006309  1.19338863 60.19795475], [71.95914626121521]
[-2.79856   1.29054  60.570684], [72.04375958442688]
[ 3.0757   0.58026 60.6858 ], [72.12682485580444]
[-2.86687268  0.57642545 60.24144083], [72.21058535575867]
[-2.98364   0.08764  60.731484], [72.2950689792633]
[2.8694400e+00 1.4140000e-02 6.0746676e+01], [72.38101100921631]
[-2.88156989 -0.34472678 60.24773163], [72.46515655517578]
[-2.85234  -0.36668  60.722616], [72.54950022697449]
[ 2.87956  0.5911  60.6813 ], [72.6347713470459]
[-2.81948994 -0.560643   60.19202487], [72.72020316123962]
[-2.86298  -0.70582  60.635112], [72.80440521240234]
[ 2.8401    0.70552  60.621852], [72.88788485527039]
[-2.80703249 -0.79111946 60.12640842], [72.9709300994873]
[-2.83164 -0.828   60.57774], [73.05663990974426]
[ 2.83412   0.89694  60.553692], [73.14177632331848]
[-2.80339809 -0.92454666 60.06944185], [73.2273325920105]
[-2.84344 -0.99188 60.51102], [73.31301879882812]
[ 2.85708   1.03716  60.489228], [73.39827370643616]
