[ 3.33 -6.74 54.86], [46.4912805557251]
[ 4.67 -5.8  55.54], [46.57736325263977]
[ 7.31  4.55 56.96], [46.66106033325195]
[ 5.23 -0.69 55.78], [46.74600076675415]
[ 4.74 -2.03 55.46], [46.83013296127319]
[ 4.42 -2.3  55.46], [46.91658568382263]
[ 4.39 -2.42 55.41], [47.000728607177734]
[ 4.29 -2.4  55.39], [47.08484935760498]
[ 4.23 -2.39 55.43], [47.16913056373596]
[ 4.19 -2.45 55.42], [47.25311493873596]
[ 4.15 -2.49 55.4 ], [47.336798429489136]
[ 4.16 -2.51 55.4 ], [47.420899868011475]
[ 4.16 -2.5  55.39], [47.5111448764801]
[ 4.16 -2.49 55.4 ], [47.59486365318298]
[ 4.13 -2.49 55.39], [47.678924798965454]
[ 4.13 -2.5  55.38], [47.76268124580383]
[ 4.11 -2.5  55.38], [47.84681034088135]
[ 4.12 -2.5  55.38], [47.93077230453491]
[ 4.1  -2.5  55.37], [48.01501774787903]
[ 4.11 -2.5  55.38], [48.09907341003418]
[ 4.1  -2.49 55.38], [48.18240189552307]
[ 4.1  -2.48 55.39], [48.267006635665894]
[ 4.09 -2.46 55.39], [48.3510856628418]
[ 4.09 -2.46 55.38], [48.43478608131409]
[ 4.08 -2.46 55.39], [48.51968717575073]
[ 4.07 -2.46 55.39], [48.60351610183716]
[ 5.44 -0.51 55.19], [48.68747091293335]
[ 6.63  9.59 56.59], [48.7713577747345]
[ 5.05  5.02 55.96], [48.855429887771606]
[ 4.6   1.98 55.94], [48.93934345245361]
[ 4.29  0.96 55.64], [49.02331519126892]
[ 4.35  0.71 55.62], [49.10713338851929]
[ 4.3   0.85 55.73], [49.19104313850403]
[ 4.32  0.79 55.71], [49.27497220039368]
[ 4.28  0.74 55.69], [49.35928654670715]
[ 4.26  0.72 55.68], [49.44284200668335]
[ 4.25  0.71 55.68], [49.526220083236694]
[ 4.26  0.72 55.68], [49.61060452461243]
[ 4.25  0.7  55.69], [49.69449257850647]
[ 4.23  0.7  55.68], [49.783886194229126]
[ 4.2   0.67 55.67], [49.86849355697632]
[ 4.19  0.66 55.66], [49.95189046859741]
[ 4.19  0.67 55.66], [50.03612208366394]
[ 4.19  0.66 55.66], [50.119588136672974]
[ 4.19  0.66 55.65], [50.2023491859436]
[ 4.18  0.65 55.64], [50.28613996505737]
[ 4.18  0.64 55.64], [50.3698456287384]
[ 4.18  0.64 55.64], [50.45431470870972]
[ 4.17  0.65 55.65], [50.53788352012634]
[ 4.15  0.66 55.65], [50.622233390808105]
[ 4.15  0.67 55.66], [50.70537805557251]
[ 0.96 -0.18 55.63], [50.78905987739563]
[-6.04  3.36 55.4 ], [50.872945070266724]
[-3.17  2.66 56.19], [50.957473039627075]
[-0.56  0.57 55.86], [51.041918992996216]
[-0.19  0.41 55.59], [51.12558674812317]
[-1.00e-02  2.50e-01  5.53e+01], [51.20969891548157]
[ 0.14  0.23 55.22], [51.293896198272705]
[ 0.17  0.25 55.26], [51.378108501434326]
[ 0.13  0.2  55.22], [51.46274399757385]
[ 0.13  0.18 55.2 ], [51.54697871208191]
[ 0.14  0.2  55.19], [51.630608797073364]
[ 0.14  0.21 55.18], [51.71445107460022]
[ 0.12  0.21 55.17], [51.798901081085205]
[ 0.12  0.21 55.16], [51.88275671005249]
[ 0.11  0.2  55.15], [51.96657109260559]
[ 0.1   0.21 55.15], [52.05051374435425]
[ 0.11  0.21 55.15], [52.13416886329651]
[ 0.11  0.21 55.14], [52.21720838546753]
[ 0.1   0.22 55.14], [52.30047369003296]
[ 0.1   0.22 55.13], [52.383480072021484]
[ 0.08  0.23 55.12], [52.46686291694641]
[ 0.1   0.22 55.12], [52.54948592185974]
[ 0.09  0.22 55.11], [52.63315153121948]
[ 0.1   0.22 55.12], [52.71662998199463]
[ 0.09  0.22 55.13], [52.79996418952942]
[-2.93  1.22 56.44], [52.88288354873657]
[-15.49  14.62  61.17], [52.96584916114807]
[ 7.28 22.77 61.19], [53.0483717918396]
[-2.36  0.5  63.12], [53.131977796554565]
[ 2.52  9.3  61.52], [53.214611768722534]
[-2.05  0.5  61.87], [53.29797029495239]
[ 1.16  5.31 61.7 ], [53.381240367889404]
[-0.37  2.28 61.87], [53.464823484420776]
[ 0.52  4.09 61.8 ], [53.54782199859619]
[ 0.49  3.29 61.66], [53.63118290901184]
[ 0.47  3.58 61.68], [53.71489143371582]
[ 0.62  3.41 61.63], [53.79785466194153]
[ 0.51  3.31 61.62], [53.88103127479553]
[ 0.82  3.37 61.62], [53.964985847473145]
[ 0.76  3.43 61.63], [54.048500776290894]
[ 0.86  3.48 61.64], [54.13167977333069]
[ 0.84  3.43 61.57], [54.21453857421875]
[ 0.89  3.47 61.58], [54.29734921455383]
[ 0.9   3.44 61.55], [54.3809494972229]
[ 0.68  3.5  61.57], [54.46506690979004]
[ 0.83  3.45 61.54], [54.548409938812256]
[ 0.8   3.46 61.53], [54.63138246536255]
[ 0.81  3.43 61.53], [54.71392035484314]
[ 0.79  3.44 61.52], [54.79840064048767]
[ 0.81  3.42 61.52], [54.88181471824646]
[-2.57  3.15 61.05], [54.96599626541138]
[nan nan nan], [55.04561686515808]
[-6.04  8.52 57.96], [55.12863564491272]
[-19.33  13.06  54.14], [55.21130871772766]
[-10.66  13.05  57.47], [55.29460310935974]
[-13.95  11.9   57.45], [55.37693953514099]
[-12.84  10.81  58.14], [55.46056580543518]
[-9.92 12.09 58.43], [55.54361057281494]
[-10.14  11.47  59.38], [55.62738227844238]
[-9.53 10.48 59.86], [55.71047115325928]
[-9.4  10.48 59.82], [55.793737173080444]
[-9.32 10.23 60.08], [55.87755489349365]
[-9.22 10.05 60.23], [55.96147108078003]
[-8.8   9.88 60.37], [56.04547739028931]
[-8.89  9.72 60.43], [56.129573583602905]
[-8.47  9.8  60.53], [56.21342420578003]
[-8.26  9.62 60.69], [56.29763340950012]
[-8.45  9.76 60.62], [56.38161849975586]
[-8.11  9.71 60.63], [56.46600651741028]
[-8.46  9.96 60.55], [56.54955768585205]
[-8.1   9.83 60.65], [56.63364005088806]
[-8.22  9.97 60.51], [56.71721005439758]
[-8.16  9.83 60.69], [56.799994230270386]
[-8.07  9.64 60.73], [56.88305926322937]
[-8.3   9.68 60.61], [56.96636700630188]
[-10.06  13.75  57.35], [57.04994535446167]
[-26.41  20.24  29.15], [57.13307309150696]
