[1.42108547e-14 0.00000000e+00 5.50000000e+01], [31.057428121566772]
[4.83801465e+00 1.55966976e-03 5.58901543e+01], [48.85519886016846]
[4.84456036e+00 1.21590219e-03 5.58486245e+01], [48.93911790847778]
[4.84946313e+00 9.53851167e-04 5.58173405e+01], [49.023080825805664]
[4.85315281e+00 7.50564465e-04 5.57937606e+01], [49.10689997673035]
[4.85593350e+00 5.92212378e-04 5.57759776e+01], [49.19081497192383]
[4.85803137e+00 4.68468426e-04 5.57625600e+01], [49.274747133255005]
[4.85961557e+00 3.71565726e-04 5.57524314e+01], [49.359044313430786]
[4.86081283e+00 2.95602151e-04 5.57447823e+01], [49.44259977340698]
[4.86171829e+00 2.36042115e-04 5.57390033e+01], [49.525986433029175]
[4.86240349e+00 1.89366465e-04 5.57346353e+01], [49.61037254333496]
[4.86292229e+00 1.52824324e-04 5.57313325e+01], [49.69425702095032]
[4.86331530e+00 1.24254154e-04 5.57288342e+01], [49.7834198474884]
[4.86361315e+00 1.01952056e-04 5.57269437e+01], [49.867926836013794]
[4.86383898e+00 8.45727872e-05 5.57255126e+01], [49.95145845413208]
[4.86401027e+00 7.10539604e-05 5.57244288e+01], [50.03552007675171]
[4.86414023e+00 6.05571179e-05 5.57236079e+01], [50.11932158470154]
[4.86423888e+00 5.24213902e-05 5.57229857e+01], [50.20185351371765]
[4.86431378e+00 4.61267854e-05 5.57225141e+01], [50.285919189453125]
[4.86437066e+00 4.12649743e-05 5.57221565e+01], [50.36963367462158]
[4.86441388e+00 3.75159991e-05 5.57218852e+01], [50.45410203933716]
[4.86444673e+00 3.46296985e-05 5.57216794e+01], [50.53767156600952]
[ 4.12495215e-01 -4.51628522e-04  5.64578936e+01], [50.622013568878174]
[-2.70114705e-01  9.16330138e-05  5.61662737e+01], [50.705167293548584]
[-2.27435325e-01  7.18256126e-05  5.59121271e+01], [50.7887396812439]
[-1.70378340e-01  4.11301079e-05  5.56865408e+01], [50.872639894485474]
[-1.24981736e-01 -1.01396224e-06  5.55148713e+01], [50.957255363464355]
[-9.05625108e-02 -2.33742453e-05  5.53860928e+01], [51.041704416275024]
[-6.52623130e-02 -2.95161050e-05  5.52895072e+01], [51.12525534629822]
[-4.69123407e-02 -2.70960732e-05  5.52170739e+01], [51.209404945373535]
[-3.36821610e-02 -2.14681173e-05  5.51627577e+01], [51.29368281364441]
[-2.41691719e-02 -1.54720949e-05  5.51220298e+01], [51.37789249420166]
[-1.73377247e-02 -1.03184653e-05  5.50914919e+01], [51.46252703666687]
[-1.24350282e-02 -6.34808313e-06  5.50685954e+01], [51.5467209815979]
[-8.91769316e-03 -3.50361018e-06  5.50514284e+01], [51.63033723831177]
[-6.39473517e-03 -1.58253728e-06  5.50385575e+01], [51.71422052383423]
[-4.58525659e-03 -3.58436089e-07  5.50289077e+01], [51.798359394073486]
[-3.28760262e-03  3.68851310e-07  5.50216729e+01], [51.882529973983765]
[-2.35706447e-03  7.58154520e-07  5.50162487e+01], [51.96626091003418]
