[ 0.0 0.7152218091261066 0.7028830524158086],[ 185.913592083883 186.94432585807826 186.93812571669193],[ 0.0 0.04487116325987441 0.07440638423425464],[ 185.37564682305276 185.40564736771464 185.42477068013577],[36.46925497055054]
[ 0.0 0.7388952928479366 0.7222402369715544],[ 185.9342672692406 187.00306178047373 186.99426226206276],[ 0.0 0.052815860088992625 0.09263620914950174],[ 185.38363223697377 185.42483970201025 185.4517321729091],[36.59199404716492]
[ 0.0 0.7629452315097387 0.7404602580945218],[ 185.95483953336665 187.06154051518394 187.049316527535],[ 0.0 0.05982381946554286 0.11342287162206427],[ 185.39255644561982 185.44548649479242 185.4825728884565],[36.71393799781799]
[ 0.0 0.7876865509138662 0.7572645366126954],[ 185.9752204159088 187.11984812946426 187.1030752991752],[ 0.0 0.06529074305421483 0.13750790726719775],[ 185.40236360029093 185.4670042136772 185.51758674886486],[36.836586236953735]
[ 0.0 0.8135629294516584 0.7722500637680683],[ 185.99535828037466 187.17815341422923 187.1552876390977],[ 0.0 0.06831200726780268 0.16589499861780446],[ 185.41302972085856 185.48871363703876 185.55732406205306],[36.95867943763733]
[ 0.0 0.841194527501423 0.7848244734237765],[ 186.01522875138028 187.23673058269856 187.205635870766],[ 0.0 0.06756562738716092 0.19998255884769622],[ 185.4245509137259 185.50973258747194 185.60263500181998],[37.079384326934814]
[ 0.0 0.871457711912652 0.7941221781367415],[ 186.0348240886235 187.29598967694704 187.25369089542284],[ 0.0 0.061142235553818224 0.24175602708619276],[ 185.43693660468008 185.52884815293498 185.65476075300595],[37.20145297050476]
[ 0.0 0.9056015155447138 0.7988867890116779],[ 186.05414539733763 187.35652455734547 187.29885118274603],[ 0.0 0.046298863314332674 0.2940636405945347],[ 185.45020808366948 185.54435228480025 185.7154868799172],[37.32614994049072]
[ 0.0 0.9454076824499261 0.7973073550172252],[ 186.07319829693728 187.41918681602053 187.34025915557692],[ 0.0 0.01911344329977221 0.36100765295848525],[ 185.46440292213737 185.55381947697157 185.78738037462278],[37.449015855789185]
[ 0.0 0.9711064113700499 0.7933154328999763],[ 186.0919917822783 187.485194532642 187.37668525536623],[ 0.0 0.0 0.44089938533385603],[ 185.47958833261714 185.55380367563205 185.87414248969162],[37.57164978981018]
[ 0.0 0.9843453903970844 0.7871476529249557],[ 186.10757741968808 187.54901308438633 187.4046938148726],[ 0.0 0.0 0.5308467575966127],[ 185.4977877455871 185.55277120658332 185.97963693931507],[37.69289207458496]
[ 0.0 1.0092115383352427 0.774203909334066],[ 186.1184988465255 187.60589495146863 187.42276889663182],[ 0.0 0.0 0.6345442771870068],[ 185.52143922830544 185.56245395565008 186.10647615194938],[37.81345009803772]
[ 0.0 1.0357314470797019 0.7561235212488944],[ 186.1276374494193 187.65978780949177 187.4330077874413],[ 0.0 0.0 0.7543481243701448],[ 185.55087254806884 185.58142810043702 186.25677556365682],[37.93470859527588]
[ 0.0 1.0621721020493549 0.7307276197517779],[ 186.13532306779982 187.71140683605378 187.43503612395267],[ 0.0 0.0 0.8934804902609782],[ 185.58657230253553 185.60920748819223 186.4331622687603],[38.055503368377686]
[ 0.0 1.088390241598646 0.6958548014368231],[ 186.14098827587023 187.76038567868835 187.42727564242432],[ 0.0 0.0 1.0566726868850853],[ 185.62923310336657 185.64583799136892 186.63929692351962],[38.17710995674133]
[ 0.0 1.1144678563999328 0.6491616691064911],[ 186.14384763170574 187.8060861191384 187.40751375528987],[ 0.0 0.0 1.2501654688691137],[ 185.67993943756406 185.69191789606603 186.8804032896476],[38.2991509437561]
[ 0.0 1.1405566642751976 0.5878590139648159],[ 186.14303212194395 187.84776061735494 187.37295927940272],[ 0.0 0.0 1.4819704170818226],[ 185.74027514921482 185.74865528404314 187.16365002368224],[38.42066311836243]
[ 0.0 1.1668815231596823 0.5087041949302169],[ 186.1375943898736 187.8845729947065 187.3201516378831],[ 0.0 0.0 1.7621517313447113],[ 185.81243993219792 185.81795139144668 187.4985630550691],[38.54214811325073]
[ 0.0 1.1937829564096543 0.40835206029381665],[ 186.12651914041055 187.91562407711982 187.24487657966557],[ 0.0 0.0 2.1028025829019183],[ 185.89938902772906 185.9025144011356 187.89745620586172],[38.6646409034729]
[ 0.0 1.2217751728034238 0.28438130092273495],[ 186.1088171445418 187.94006372806916 187.14222891222926],[ 0.0 0.0 2.5171147675150958],[ 186.00496674105386 186.0059707219389 188.37568937204225],[38.78636312484741]
[ 0.0 1.2515859732122399 0.13751020366250843],[ 186.08380133045063 187.95738821743527 187.00705894294103],[ 0.0 0.0 3.0164543555383703],[ 186.13393612976645 186.13287452419777 188.95127632494714],[38.90786623954773]
[ 0.0 1.2837832287725632 0.0],[ 186.05167987667875 187.96805341654436 186.83519772114258],[ 0.0 0.0 3.5746858458767927],[ 186.2916798114996 186.2883911178758 189.64288882733402],[39.04056763648987]
